name	uid	group
Lepus_europaeus	a87a3826-dc6c-4bad-8a89-82553e8e8ea0	ingroup
Mus_musculus	92989e35-4e68-4a2d-b3a2-191ba9da671a	ingroup
Homo_sapiens	c089caae-43ef-4e4e-bf26-973dd4cb65c5	ingroup
Equus_ferus	85d95128-912c-427a-9542-138e1dbf5651	ingroup
Balaenoptera_musculus	16969246-31e0-48e3-90ff-cad9a8746073	ingroup
Panthera_leo	355070f5-fd58-4424-8fe4-23893c167ca9	ingroup
Corynorhinus_townsendii	18bfd2fc-f184-4c3a-b511-796aafcc70f6	ingroup
Loxodonta_africana	80db1004-bc9f-4318-84e7-cdd9639a1f3e	ingroup
Dasypus_novemcinctus	5d59b5ce-c1dd-40f6-b295-8d2629b9775e	ingroup
Macropus_giganteus	624e3d80-cba2-4465-8f3a-c9ae4025198b	ingroup
Ornithorhynchus_anatinus	61932f57-1fd2-49d9-bb86-042d6005581a	ingroup
Buteo_jamaicensis	e00734a7-e8a8-4fe5-b5a9-58d927ca451a	outgroup
Podarcis_lilfordi	d4c856c6-49b3-4b48-ad1f-1bbbc8cf58fa	outgroup
Hyla_versicolor	c07ce7b7-5fb5-484f-83a0-567bb0795e18	outgroup
